[2025-08-10T00:00:01.914+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-10T00:00:01.928+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-08-09T00:00:00+00:00 [queued]>
[2025-08-10T00:00:01.934+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-08-09T00:00:00+00:00 [queued]>
[2025-08-10T00:00:01.934+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-10T00:00:01.943+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-08-09 00:00:00+00:00
[2025-08-10T00:00:01.951+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'scheduled__2025-08-09T00:00:00+00:00', '--job-id', '875', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmp2chcnp6i']
[2025-08-10T00:00:01.951+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1773) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-10T00:00:01.959+0000] {standard_task_runner.py:105} INFO - Job 875: Subtask generator_stream_data
[2025-08-10T00:00:01.959+0000] {standard_task_runner.py:72} INFO - Started process 1776 to run task
[2025-08-10T00:00:01.997+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data scheduled__2025-08-09T00:00:00+00:00 [running]> on host 65480d99695f
[2025-08-10T00:00:02.050+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-08-09T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-09T00:00:00+00:00'
[2025-08-10T00:00:02.051+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-10T00:00:02.325+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-10T00:00:02.346+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.8', 19092)]>: Broker version identified as 2.6
[2025-08-10T00:00:02.347+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-10T00:00:02.451+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-10T00:00:02.451+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-10T00:00:02.452+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Closing connection. 
[2025-08-10T00:00:02.475+0000] {cluster.py:316} ERROR - Topic stream_data not found in cluster metadata
[2025-08-10T00:00:02.586+0000] {cluster.py:316} ERROR - Topic stream_data not found in cluster metadata
[2025-08-10T00:00:02.690+0000] {cluster.py:316} ERROR - Topic stream_data not found in cluster metadata
[2025-08-10T00:00:02.793+0000] {cluster.py:316} ERROR - Topic stream_data not found in cluster metadata
[2025-08-10T00:00:02.920+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kerry Eaton', 'song': 'Quantum', 'album': 'Afterglow', 'genre': 'Electronic', 'artist': 'Amanda Morgan', 'stream_date': '2025-03-26'}
[2025-08-10T00:00:02.923+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tiffany Hicks', 'song': 'Vortex', 'album': 'Islands', 'genre': 'Reggae', 'artist': 'Richard Rogers', 'stream_date': '2025-03-29'}
[2025-08-10T00:00:02.924+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.12', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.12', 19092) IPv4]
[2025-08-10T00:00:02.925+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mr. Jesse Hoffman', 'song': 'Spectrum?', 'album': 'Utopia', 'genre': 'Pop', 'artist': 'Katelyn Olson', 'stream_date': '2025-06-21'}
[2025-08-10T00:00:02.926+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.12', 19092)]>: Connection complete.
[2025-08-10T00:00:02.928+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Rhonda Galloway', 'song': 'Equinox', 'album': 'Sanctuary', 'genre': 'Classical', 'artist': 'Jeffrey Lee', 'stream_date': '2024-11-29'}
[2025-08-10T00:00:02.933+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jeffrey Walker', 'song': 'Quantum', 'album': 'Limelight', 'genre': 'Classical', 'artist': 'Kathleen Mccarthy', 'stream_date': '2025-04-30'}
[2025-08-10T00:00:02.935+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Angie Willis', 'song': 'Euphoria', 'album': 'Paragon', 'genre': 'Electronic', 'artist': 'Stuart Shepard MD', 'stream_date': '2025-05-18'}
[2025-08-10T00:00:02.937+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Justin Taylor', 'song': 'Drift', 'album': 'Static', 'genre': 'Metal', 'artist': 'Donald Friedman DDS', 'stream_date': '2025-05-11'}
[2025-08-10T00:00:02.939+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kyle Thomas', 'song': 'Paradox', 'album': 'Limelight', 'genre': 'Reggae', 'artist': 'Kimberly Washington', 'stream_date': '2025-01-07'}
[2025-08-10T00:00:02.941+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Nathan Carlson', 'song': 'Mirage?', 'album': 'Rebellion', 'genre': 'Reggae', 'artist': 'Taylor Perkins', 'stream_date': '2025-08-29'}
[2025-08-10T00:00:02.943+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Larry Herrera Jr.', 'song': 'Nocturne', 'album': 'Threshold', 'genre': 'Classical', 'artist': 'Karen Villegas', 'stream_date': '2025-07-23'}
[2025-08-10T00:00:02.945+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Lucas Walton', 'song': 'Velvet', 'album': 'Threshold', 'genre': 'Rock', 'artist': 'Tracey Jackson', 'stream_date': '2025-08-26'}
[2025-08-10T00:00:02.946+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Deborah Walker PhD', 'song': 'Gravity', 'album': 'Ascension', 'genre': 'Metal', 'artist': 'David Blevins', 'stream_date': '2025-08-01'}
[2025-08-10T00:00:02.947+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'John Rodriguez', 'song': 'Euphoria', 'album': 'Threshold', 'genre': 'Country', 'artist': 'Victor Martinez', 'stream_date': '2024-10-10'}
[2025-08-10T00:00:02.947+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kathryn Bentley', 'song': 'Fragment', 'album': 'Sanctuary', 'genre': 'Country', 'artist': 'Christian Schwartz', 'stream_date': '2025-04-24'}
[2025-08-10T00:00:02.949+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sean Adams', 'song': 'Whispers', 'album': 'Islands', 'genre': 'Pop', 'artist': 'Sarah Rowland', 'stream_date': '2025-09-05'}
[2025-08-10T00:00:02.950+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mary Mann', 'song': 'Equinox', 'album': 'Ascension', 'genre': 'R&B', 'artist': 'Frederick Bridges', 'stream_date': '2025-02-04'}
