[2025-08-07T19:39:56.268+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-07T19:39:56.294+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-07T19:39:54.716162+00:00 [queued]>
[2025-08-07T19:39:56.305+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-07T19:39:54.716162+00:00 [queued]>
[2025-08-07T19:39:56.305+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-07T19:39:56.315+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-08-07 19:39:54.716162+00:00
[2025-08-07T19:39:56.321+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=267) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-07T19:39:56.322+0000] {standard_task_runner.py:72} INFO - Started process 270 to run task
[2025-08-07T19:39:56.321+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'manual__2025-08-07T19:39:54.716162+00:00', '--job-id', '834', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmpi87fj9ub']
[2025-08-07T19:39:56.323+0000] {standard_task_runner.py:105} INFO - Job 834: Subtask generator_stream_data
[2025-08-07T19:39:56.367+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data manual__2025-08-07T19:39:54.716162+00:00 [running]> on host e139a9424c76
[2025-08-07T19:39:56.443+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-08-07T19:39:54.716162+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-08-07T19:39:54.716162+00:00'
[2025-08-07T19:39:56.444+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-07T19:39:56.714+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-07T19:39:56.720+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.8', 19092)]>: Broker version identified as 2.6
[2025-08-07T19:39:56.721+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-07T19:39:56.829+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connecting> [IPv4 ('172.18.0.7', 19092)]>: connecting to kafka-broker-1:19092 [('172.18.0.7', 19092) IPv4]
[2025-08-07T19:39:56.830+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connected> [IPv4 ('172.18.0.7', 19092)]>: Connection complete.
[2025-08-07T19:39:56.831+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Closing connection. 
[2025-08-07T19:39:56.850+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Elizabeth Hughes', 'song': 'Anthem', 'album': 'Limelight', 'genre': 'Hip-Hop', 'artist': 'Jonathan Jones', 'stream_date': '2025-04-02'}
[2025-08-07T19:39:56.854+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tracy Carlson', 'song': 'Reverie', 'album': 'Paragon', 'genre': 'R&B', 'artist': 'Joshua Blackwell', 'stream_date': '2025-03-12'}
[2025-08-07T19:39:56.856+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Donna Williams', 'song': 'Gravity', 'album': 'Rebellion', 'genre': 'Country', 'artist': 'Savannah Orr', 'stream_date': '2025-04-19'}
[2025-08-07T19:39:56.854+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-07T19:39:56.859+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-07T19:39:56.857+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Isaac Mccall', 'song': 'Pulse', 'album': 'Limelight', 'genre': 'R&B', 'artist': 'Harold Kirk', 'stream_date': '2025-08-21'}
[2025-08-07T19:39:56.866+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Allison Baxter', 'song': 'Radiance', 'album': 'Rebellion', 'genre': 'R&B', 'artist': 'Jordan Holmes', 'stream_date': '2024-11-23'}
[2025-08-07T19:39:56.872+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Allison Small', 'song': 'Pulse!', 'album': 'Rebellion', 'genre': 'Electronic', 'artist': 'Dillon Brown', 'stream_date': '2025-07-01'}
[2025-08-07T19:39:56.880+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jamie Perry', 'song': 'Nomad', 'album': 'Limelight', 'genre': 'Country', 'artist': 'James Elliott', 'stream_date': '2024-12-16'}
[2025-08-07T19:39:56.899+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sandra Anderson', 'song': 'Velocity', 'album': 'Exodus', 'genre': 'Country', 'artist': 'Jennifer Thomas', 'stream_date': '2025-02-09'}
[2025-08-07T19:39:56.907+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'David Armstrong', 'song': 'Anthem', 'album': 'Nightfall', 'genre': 'Classical', 'artist': 'Mary Baker', 'stream_date': '2025-02-16'}
[2025-08-07T19:39:56.912+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jason Richard', 'song': 'Horizon!', 'album': 'Islands', 'genre': 'Pop', 'artist': 'Amanda Castro', 'stream_date': '2025-03-23'}
[2025-08-07T19:39:56.916+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kerri Morrow', 'song': 'Nomad', 'album': 'Elysium', 'genre': 'Reggae', 'artist': 'Morgan Scott', 'stream_date': '2024-10-02'}
[2025-08-07T19:39:56.925+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Joan Freeman', 'song': 'Vortex', 'album': 'Exodus', 'genre': 'Metal', 'artist': 'Lori Hughes', 'stream_date': '2025-04-14'}
[2025-08-07T19:39:56.931+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'David Caldwell', 'song': 'Aurora?', 'album': 'Sanctuary', 'genre': 'Electronic', 'artist': 'James Griffith', 'stream_date': '2025-03-27'}
[2025-08-07T19:39:56.932+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Austin Atkinson', 'song': 'Cascade', 'album': 'Static', 'genre': 'Hip-Hop', 'artist': 'Megan Reed', 'stream_date': '2024-10-01'}
[2025-08-07T19:39:56.935+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sean Morgan', 'song': 'Mirage?', 'album': 'Nightfall', 'genre': 'Metal', 'artist': 'Kelli Black', 'stream_date': '2025-06-29'}
