[2025-08-05T21:29:53.843+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-05T21:29:53.865+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-08-05T21:29:53.876+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-08-05T21:29:53.877+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-05T21:29:53.889+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-02-01 00:00:00+00:00
[2025-08-05T21:29:53.894+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=527) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-05T21:29:53.895+0000] {standard_task_runner.py:72} INFO - Started process 545 to run task
[2025-08-05T21:29:53.897+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'scheduled__2025-02-01T00:00:00+00:00', '--job-id', '719', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmpzva12oog']
[2025-08-05T21:29:53.898+0000] {standard_task_runner.py:105} INFO - Job 719: Subtask generator_stream_data
[2025-08-05T21:29:53.947+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-01T00:00:00+00:00 [running]> on host ef2c5d727bcb
[2025-08-05T21:29:54.020+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-01T00:00:00+00:00'
[2025-08-05T21:29:54.023+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-05T21:29:54.041+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-05T21:29:54.046+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.9', 19092)]>: Broker version identified as 2.6
[2025-08-05T21:29:54.047+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-05T21:29:54.156+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-1:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-05T21:29:54.157+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-05T21:29:54.157+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Closing connection. 
[2025-08-05T21:29:54.160+0000] {cluster.py:316} ERROR - Topic stream_data not found in cluster metadata
[2025-08-05T21:29:54.266+0000] {cluster.py:316} ERROR - Topic stream_data not found in cluster metadata
[2025-08-05T21:29:54.372+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jessica Griffin', 'song': 'Aurora?', 'album': 'Daybreak', 'genre': 'Jazz', 'artist': 'David Gilbert', 'stream_date': '2012-11-07'}
[2025-08-05T21:29:54.373+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ryan Lewis', 'song': 'Pulse!', 'album': 'Visions', 'genre': 'Pop', 'artist': 'Kelly Wilson', 'stream_date': '1983-12-23'}
[2025-08-05T21:29:54.374+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Gregory Powell', 'song': 'Aurora', 'album': 'Static', 'genre': 'Rock', 'artist': 'Mikayla Tapia', 'stream_date': '2017-10-20'}
[2025-08-05T21:29:54.375+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melissa Beck', 'song': 'Velocity', 'album': 'Elysium', 'genre': 'Hip-Hop', 'artist': 'Daniel Stewart', 'stream_date': '1970-12-02'}
[2025-08-05T21:29:54.377+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Paul Lara', 'song': 'Mirage', 'album': 'Rebellion', 'genre': 'Metal', 'artist': 'Richard Baker', 'stream_date': '1975-11-06'}
[2025-08-05T21:29:54.380+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jason Banks', 'song': 'Crescendo', 'album': 'Sanctuary', 'genre': 'Classical', 'artist': 'Austin Mitchell', 'stream_date': '1990-06-15'}
[2025-08-05T21:29:54.381+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Christine Wood', 'song': 'Fragment', 'album': 'Threshold', 'genre': 'Electronic', 'artist': 'Robert Barajas', 'stream_date': '2019-09-15'}
[2025-08-05T21:29:54.385+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Martin Martinez', 'song': 'Silhouette', 'album': 'Visions', 'genre': 'Country', 'artist': 'Emily Kennedy', 'stream_date': '1990-08-15'}
[2025-08-05T21:29:54.391+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jamie Hebert', 'song': 'Reverie', 'album': 'Utopia', 'genre': 'Metal', 'artist': 'Taylor Snyder', 'stream_date': '1985-07-08'}
[2025-08-05T21:29:54.396+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Anthony Gutierrez', 'song': 'Spectrum?', 'album': 'Static', 'genre': 'Metal', 'artist': 'Nancy Salazar', 'stream_date': '2005-01-11'}
[2025-08-05T21:29:54.399+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Theresa Cruz', 'song': 'Aurora?', 'album': 'Static', 'genre': 'Reggae', 'artist': 'Richard Allen', 'stream_date': '2016-11-14'}
[2025-08-05T21:29:54.400+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jennifer Buckley', 'song': 'Ember', 'album': 'Islands', 'genre': 'Hip-Hop', 'artist': 'Jesus Hawkins', 'stream_date': '1973-11-15'}
[2025-08-05T21:29:54.404+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Elizabeth Ellis', 'song': 'Serenity', 'album': 'Limelight', 'genre': 'Pop', 'artist': 'Brandon Gutierrez', 'stream_date': '1971-03-15'}
[2025-08-05T21:29:54.410+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mark Herrera', 'song': 'Horizon', 'album': 'Sanctuary', 'genre': 'Reggae', 'artist': 'Blake Johnson', 'stream_date': '2010-04-24'}
[2025-08-05T21:29:54.412+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mary Dixon', 'song': 'Ember!', 'album': 'Rebellion', 'genre': 'Country', 'artist': 'Crystal Collins', 'stream_date': '1995-07-19'}
[2025-08-05T21:29:54.413+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ashley Shepherd', 'song': 'Mirage', 'album': 'Paragon', 'genre': 'Pop', 'artist': 'Lisa Blankenship', 'stream_date': '1984-11-05'}
[2025-08-05T21:29:54.414+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'William Wise', 'song': 'Velvet', 'album': 'Afterglow', 'genre': 'R&B', 'artist': 'Donna Bolton', 'stream_date': '1978-02-07'}
