[2025-08-05T21:30:03.263+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-05T21:30:03.288+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-18T00:00:00+00:00 [queued]>
[2025-08-05T21:30:03.306+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-18T00:00:00+00:00 [queued]>
[2025-08-05T21:30:03.306+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-05T21:30:03.342+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-02-18 00:00:00+00:00
[2025-08-05T21:30:03.355+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'scheduled__2025-02-18T00:00:00+00:00', '--job-id', '737', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmp7kf82u7j']
[2025-08-05T21:30:03.361+0000] {standard_task_runner.py:105} INFO - Job 737: Subtask generator_stream_data
[2025-08-05T21:30:03.359+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=592) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-05T21:30:03.368+0000] {standard_task_runner.py:72} INFO - Started process 614 to run task
[2025-08-05T21:30:03.426+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data scheduled__2025-02-18T00:00:00+00:00 [running]> on host ef2c5d727bcb
[2025-08-05T21:30:03.562+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-18T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-18T00:00:00+00:00'
[2025-08-05T21:30:03.563+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-05T21:30:03.583+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-05T21:30:03.597+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.9', 19092)]>: Broker version identified as 2.6
[2025-08-05T21:30:03.597+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-05T21:30:03.716+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.7', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.7', 19092) IPv4]
[2025-08-05T21:30:03.717+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.7', 19092)]>: Connection complete.
[2025-08-05T21:30:03.718+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Closing connection. 
[2025-08-05T21:30:03.728+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jessica Griffin', 'song': 'Aurora?', 'album': 'Daybreak', 'genre': 'Metal', 'artist': 'David Gilbert', 'stream_date': '2012-11-07'}
[2025-08-05T21:30:03.731+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ryan Lewis', 'song': 'Pulse!', 'album': 'Visions', 'genre': 'Reggae', 'artist': 'Kelly Wilson', 'stream_date': '1983-12-23'}
[2025-08-05T21:30:03.731+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connecting> [IPv4 ('172.18.0.8', 19092)]>: connecting to kafka-broker-1:19092 [('172.18.0.8', 19092) IPv4]
[2025-08-05T21:30:03.732+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Gregory Powell', 'song': 'Aurora', 'album': 'Static', 'genre': 'Rock', 'artist': 'Mikayla Tapia', 'stream_date': '2017-10-20'}
[2025-08-05T21:30:03.735+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=4 host=kafka-broker-1:19092 <connected> [IPv4 ('172.18.0.8', 19092)]>: Connection complete.
[2025-08-05T21:30:03.737+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melissa Beck', 'song': 'Velocity', 'album': 'Elysium', 'genre': 'Electronic', 'artist': 'Daniel Stewart', 'stream_date': '1970-12-02'}
[2025-08-05T21:30:03.739+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Paul Lara', 'song': 'Mirage', 'album': 'Rebellion', 'genre': 'R&B', 'artist': 'Richard Baker', 'stream_date': '1975-11-06'}
[2025-08-05T21:30:03.740+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jason Banks', 'song': 'Crescendo', 'album': 'Sanctuary', 'genre': 'Hip-Hop', 'artist': 'Austin Mitchell', 'stream_date': '1990-06-15'}
[2025-08-05T21:30:03.741+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Christine Wood', 'song': 'Fragment', 'album': 'Threshold', 'genre': 'Metal', 'artist': 'Robert Barajas', 'stream_date': '2019-09-15'}
[2025-08-05T21:30:03.741+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Martin Martinez', 'song': 'Silhouette', 'album': 'Visions', 'genre': 'Country', 'artist': 'Emily Kennedy', 'stream_date': '1990-08-15'}
[2025-08-05T21:30:03.743+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jamie Hebert', 'song': 'Reverie', 'album': 'Utopia', 'genre': 'Metal', 'artist': 'Taylor Snyder', 'stream_date': '1985-07-08'}
[2025-08-05T21:30:03.744+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Anthony Gutierrez', 'song': 'Spectrum?', 'album': 'Static', 'genre': 'Classical', 'artist': 'Nancy Salazar', 'stream_date': '2005-01-11'}
[2025-08-05T21:30:03.746+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Theresa Cruz', 'song': 'Aurora?', 'album': 'Static', 'genre': 'Classical', 'artist': 'Richard Allen', 'stream_date': '2016-11-14'}
[2025-08-05T21:30:03.749+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jennifer Buckley', 'song': 'Ember', 'album': 'Islands', 'genre': 'Rock', 'artist': 'Jesus Hawkins', 'stream_date': '1973-11-15'}
[2025-08-05T21:30:03.750+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Elizabeth Ellis', 'song': 'Serenity', 'album': 'Limelight', 'genre': 'Country', 'artist': 'Brandon Gutierrez', 'stream_date': '1971-03-15'}
[2025-08-05T21:30:03.752+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mark Herrera', 'song': 'Horizon', 'album': 'Sanctuary', 'genre': 'Jazz', 'artist': 'Blake Johnson', 'stream_date': '2010-04-24'}
[2025-08-05T21:30:03.753+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Mary Dixon', 'song': 'Ember!', 'album': 'Rebellion', 'genre': 'Jazz', 'artist': 'Crystal Collins', 'stream_date': '1995-07-19'}
[2025-08-05T21:30:03.754+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ashley Shepherd', 'song': 'Mirage', 'album': 'Paragon', 'genre': 'Country', 'artist': 'Lisa Blankenship', 'stream_date': '1984-11-05'}
[2025-08-05T21:30:03.758+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'William Wise', 'song': 'Velvet', 'album': 'Afterglow', 'genre': 'Rock', 'artist': 'Donna Bolton', 'stream_date': '1978-02-07'}
[2025-08-05T21:30:03.760+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jo Ponce', 'song': 'Silhouette', 'album': 'Nightfall', 'genre': 'Reggae', 'artist': 'Shawn Frazier', 'stream_date': '1981-03-08'}
[2025-08-05T21:30:03.762+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Brittany Gonzales DVM', 'song': 'Paradox', 'album': 'Daybreak', 'genre': 'Hip-Hop', 'artist': 'Cynthia Estrada', 'stream_date': '1988-12-17'}
[2025-08-05T21:30:03.765+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Emily Norman', 'song': 'Radiance', 'album': 'Afterglow', 'genre': 'Jazz', 'artist': 'Jeffrey Conrad', 'stream_date': '1984-07-08'}
[2025-08-05T21:30:03.766+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'David Hansen', 'song': 'Infinity', 'album': 'Elysium', 'genre': 'Reggae', 'artist': 'Matthew Spencer', 'stream_date': '2010-12-22'}
[2025-08-05T21:30:03.768+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Ashley Villa', 'song': 'Infinity', 'album': 'Afterglow', 'genre': 'Reggae', 'artist': 'Tina Meyer', 'stream_date': '1995-11-26'}
[2025-08-05T21:30:03.770+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Scott Ryan', 'song': 'Odyssey', 'album': 'Limelight', 'genre': 'Metal', 'artist': 'Douglas Perkins MD', 'stream_date': '1973-08-11'}
[2025-08-05T21:30:03.771+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Dillon Roberson', 'song': 'Echo?', 'album': 'Daybreak', 'genre': 'Electronic', 'artist': 'Justin Escobar', 'stream_date': '1999-10-06'}
[2025-08-05T21:30:03.773+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Robert Douglas', 'song': 'Paradox', 'album': 'Exodus', 'genre': 'Rock', 'artist': 'Stacy Weber', 'stream_date': '1980-04-16'}
[2025-08-05T21:30:03.776+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Nicholas Wilkerson', 'song': 'Prism!', 'album': 'Static', 'genre': 'Jazz', 'artist': 'Vicki Richardson', 'stream_date': '1998-10-10'}
[2025-08-05T21:30:03.778+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jonathan Allen', 'song': 'Velvet', 'album': 'Paragon', 'genre': 'Classical', 'artist': 'Kimberly Martinez', 'stream_date': '2003-04-12'}
[2025-08-05T21:30:03.780+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Melanie Rose', 'song': 'Serenity', 'album': 'Rebellion', 'genre': 'Electronic', 'artist': 'James Hamilton', 'stream_date': '1998-04-01'}
[2025-08-05T21:30:03.782+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'David Eaton', 'song': 'Vortex', 'album': 'Paragon', 'genre': 'Pop', 'artist': 'Stephanie Smith', 'stream_date': '2019-04-17'}
[2025-08-05T21:30:03.784+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'George Butler', 'song': 'Infinity', 'album': 'Islands', 'genre': 'Pop', 'artist': 'Sandra Porter', 'stream_date': '1992-05-20'}
[2025-08-05T21:30:03.786+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Charles Wagner', 'song': 'Solace', 'album': 'Afterglow', 'genre': 'Electronic', 'artist': 'Michael Reid', 'stream_date': '1970-06-12'}
[2025-08-05T21:30:03.792+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Megan Fisher', 'song': 'Serenity', 'album': 'Elysium', 'genre': 'Hip-Hop', 'artist': 'Angelica Smith', 'stream_date': '1973-04-04'}
[2025-08-05T21:30:03.800+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Gabriela David', 'song': 'Spectrum', 'album': 'Sanctuary', 'genre': 'R&B', 'artist': 'Jesus Stephens', 'stream_date': '2022-08-19'}
[2025-08-05T21:30:03.802+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Robin Kennedy', 'song': 'Anthem', 'album': 'Elysium', 'genre': 'Electronic', 'artist': 'Dr. Elizabeth Black', 'stream_date': '1996-08-24'}
[2025-08-05T21:30:03.804+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jennifer Scott', 'song': 'Horizon', 'album': 'Limelight', 'genre': 'Electronic', 'artist': 'Erika Barrett', 'stream_date': '2017-11-10'}
[2025-08-05T21:30:03.807+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Michael Lindsey', 'song': 'Solace', 'album': 'Ascension', 'genre': 'Jazz', 'artist': 'Kim Kelly', 'stream_date': '1982-03-04'}
