[2025-08-09T22:20:27.012+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-08-09T22:20:27.110+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-09T22:20:23.742178+00:00 [queued]>
[2025-08-09T22:20:27.133+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: stream_generator.generator_stream_data manual__2025-08-09T22:20:23.742178+00:00 [queued]>
[2025-08-09T22:20:27.134+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-08-09T22:20:27.157+0000] {taskinstance.py:2890} INFO - Executing <Task(StreamProduceOperator): generator_stream_data> on 2025-08-09 22:20:23.742178+00:00
[2025-08-09T22:20:27.169+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2677) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-08-09T22:20:27.168+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'stream_generator', 'generator_stream_data', 'manual__2025-08-09T22:20:23.742178+00:00', '--job-id', '859', '--raw', '--subdir', 'DAGS_FOLDER/streams_generator.py', '--cfg-path', '/tmp/tmpo1m9z0hg']
[2025-08-09T22:20:27.171+0000] {standard_task_runner.py:72} INFO - Started process 2678 to run task
[2025-08-09T22:20:27.177+0000] {standard_task_runner.py:105} INFO - Job 859: Subtask generator_stream_data
[2025-08-09T22:20:27.271+0000] {task_command.py:467} INFO - Running <TaskInstance: stream_generator.generator_stream_data manual__2025-08-09T22:20:23.742178+00:00 [running]> on host e139a9424c76
[2025-08-09T22:20:28.279+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='GGCODE' AIRFLOW_CTX_DAG_ID='stream_generator' AIRFLOW_CTX_TASK_ID='generator_stream_data' AIRFLOW_CTX_EXECUTION_DATE='2025-08-09T22:20:23.742178+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-08-09T22:20:23.742178+00:00'
[2025-08-09T22:20:28.289+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-08-09T22:20:28.449+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.10', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.10', 19092) IPv4]
[2025-08-09T22:20:28.590+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <checking_api_versions_recv> [IPv4 ('172.18.0.10', 19092)]>: Broker version identified as 2.6
[2025-08-09T22:20:28.592+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.10', 19092)]>: Connection complete.
[2025-08-09T22:20:28.710+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connecting> [IPv4 ('172.18.0.9', 19092)]>: connecting to kafka-broker-3:19092 [('172.18.0.9', 19092) IPv4]
[2025-08-09T22:20:28.713+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=6 host=kafka-broker-3:19092 <connected> [IPv4 ('172.18.0.9', 19092)]>: Connection complete.
[2025-08-09T22:20:28.713+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.10', 19092)]>: Closing connection. 
[2025-08-09T22:20:28.821+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tammy Phillips', 'song': 'Radiant', 'album': 'Threshold', 'genre': 'Hip-Hop', 'artist': 'Kimberly Jones', 'stream_date': '2024-11-25'}
[2025-08-09T22:20:28.831+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Matthew Wagner', 'song': 'Horizon!', 'album': 'Visions', 'genre': 'Hip-Hop', 'artist': 'Dr. Kristen Fowler', 'stream_date': '2025-06-03'}
[2025-08-09T22:20:28.837+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Laura Rodriguez', 'song': 'Silhouette', 'album': 'Afterglow', 'genre': 'Reggae', 'artist': 'Shannon Walters', 'stream_date': '2024-10-10'}
[2025-08-09T22:20:28.828+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connecting> [IPv4 ('172.18.0.10', 19092)]>: connecting to kafka-broker-2:19092 [('172.18.0.10', 19092) IPv4]
[2025-08-09T22:20:28.844+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jo Williams', 'song': 'Pulse', 'album': 'Nightfall', 'genre': 'Classical', 'artist': 'Tyler Perry', 'stream_date': '2025-07-01'}
[2025-08-09T22:20:28.849+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=5 host=kafka-broker-2:19092 <connected> [IPv4 ('172.18.0.10', 19092)]>: Connection complete.
[2025-08-09T22:20:28.850+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Teresa Bean', 'song': 'Eclipse', 'album': 'Rebellion', 'genre': 'Metal', 'artist': 'Eric Cisneros', 'stream_date': '2025-04-13'}
[2025-08-09T22:20:28.874+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Jordan Holland', 'song': 'Nocturne', 'album': 'Static', 'genre': 'Reggae', 'artist': 'Lisa Blair', 'stream_date': '2024-09-18'}
[2025-08-09T22:20:28.876+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Sarah Smith', 'song': 'Horizon!', 'album': 'Threshold', 'genre': 'Jazz', 'artist': 'Peter Adkins', 'stream_date': '2025-06-28'}
[2025-08-09T22:20:28.878+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Paul Mata', 'song': 'Nomad', 'album': 'Daybreak', 'genre': 'Hip-Hop', 'artist': 'Willie Kennedy', 'stream_date': '2025-03-19'}
[2025-08-09T22:20:28.880+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Kristin Hall', 'song': 'Velocity', 'album': 'Paragon', 'genre': 'Classical', 'artist': 'Tamara Miller MD', 'stream_date': '2025-06-25'}
[2025-08-09T22:20:28.885+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Joshua Mitchell', 'song': 'Infinity', 'album': 'Nightfall', 'genre': 'R&B', 'artist': 'Megan Howard', 'stream_date': '2025-08-13'}
[2025-08-09T22:20:28.892+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Darrell King', 'song': 'Whispers', 'album': 'Islands', 'genre': 'Reggae', 'artist': 'Mrs. Katherine Martin', 'stream_date': '2025-02-18'}
[2025-08-09T22:20:28.900+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Karen Larsen', 'song': 'Anthem', 'album': 'Paragon', 'genre': 'R&B', 'artist': 'Mary Welch', 'stream_date': '2025-02-07'}
[2025-08-09T22:20:28.906+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Tammy Watson', 'song': 'Vortex', 'album': 'Limelight', 'genre': 'Hip-Hop', 'artist': 'Christina Villarreal', 'stream_date': '2025-04-24'}
[2025-08-09T22:20:28.916+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Brian Garcia', 'song': 'Solstice', 'album': 'Threshold', 'genre': 'Classical', 'artist': 'Kenneth Fletcher', 'stream_date': '2025-05-02'}
[2025-08-09T22:20:28.923+0000] {streams_kafka_operator.py:54} INFO - Sent transaction {'listener': 'Hannah Taylor', 'song': 'Pulse', 'album': 'Rebellion', 'genre': 'Rock', 'artist': 'Shawn Patton', 'stream_date': '2025-05-24'}
